scenario,week,available_hours,used_hours,unconstrained_load_hours,overload_hours,known_open_orders,rescheduling_enabled
-1,1,22.0,20.0,20.0,0,442,0
-1,2,22.0,20.0,20.0,0,426,0
-1,3,22.0,20.0,20.0,0,410,0
-1,4,22.0,20.0,20.0,0,394,0
-1,5,22.0,20.0,20.0,0,378,0
-1,6,22.0,20.0,20.0,0,362,0
-1,7,22.0,20.0,20.0,0,346,0
-1,8,22.0,20.0,20.0,0,330,0
-1,9,22.0,20.0,20.0,0,314,0
-1,10,22.0,20.0,20.0,0,298,0
-1,11,22.0,20.0,20.0,0,282,0
-1,12,22.0,20.0,20.0,0,266,0
-1,13,22.0,20.0,20.0,0,250,0
-1,14,25.0,22.0,22.0,0,234,0
-1,15,25.0,22.0,22.0,0,216,0
-1,16,25.0,22.0,22.0,0,198,0
-1,17,25.0,22.0,22.0,0,180,0
-1,18,25.0,22.0,22.0,0,162,0
-1,19,25.0,22.0,22.0,0,144,0
-1,20,25.0,22.0,22.0,0,126,0
-1,21,25.0,22.0,22.0,0,108,0
-1,22,25.0,22.0,22.0,0,90,0
-1,23,25.0,22.0,22.0,0,72,0
-1,24,25.0,22.0,22.0,0,54,0
-1,25,25.0,22.0,22.0,0,36,0
-1,26,25.0,22.0,22.0,0,18,0
0,1,22.0,20.0,20.0,0,442,0
0,2,22.0,20.0,20.0,0,426,0
0,3,22.0,20.0,20.0,0,410,0
0,4,22.0,20.0,20.0,0,394,0
0,5,22.0,20.0,20.0,0,378,0
0,6,22.0,20.0,20.0,0,362,0
0,7,22.0,20.0,20.0,0,346,0
0,8,22.0,20.0,20.0,0,330,0
0,9,22.0,20.0,20.0,0,314,0
0,10,22.0,22.0,22.0,0,327,0
0,11,22.0,21.0,21.0,0,309,0
0,12,22.0,22.0,22.0,0,292,0
0,13,22.0,21.0,21.0,0,274,0
0,14,25.0,23.0,24.0,0,257,0
0,15,25.0,12.0,25.0,0,238,0
0,16,25.0,16.0,36.0,11.0,226,0
0,17,25.0,13.5,44.0,19.0,214,0
0,18,25.0,14.5,54.5,29.5,202,0
0,19,25.0,22.0,64.0,39.0,190,0
0,20,25.0,23.0,66.0,41.0,172,0
0,21,25.0,22.0,66.0,41.0,153,0
0,22,25.0,22.0,68.0,43.0,135,0
0,23,25.0,22.0,70.0,45.0,117,0
0,24,25.0,22.0,72.0,47.0,99,0
0,25,25.0,22.0,74.0,49.0,81,0
0,26,25.0,22.0,75.0,50.0,62,0
1,1,22.0,20.0,20.0,0,442,0
1,2,22.0,20.0,20.0,0,426,0
1,3,22.0,20.0,20.0,0,410,0
1,4,22.0,20.0,20.0,0,394,0
1,5,22.0,20.0,20.0,0,378,0
1,6,22.0,20.0,20.0,0,362,0
1,7,22.0,20.0,20.0,0,346,0
1,8,22.0,20.0,20.0,0,330,0
1,9,22.0,20.0,20.0,0,314,0
1,10,22.0,22.0,22.0,0,327,0
1,11,22.0,21.0,21.0,0,309,0
1,12,22.0,22.0,22.0,0,292,0
1,13,22.0,21.0,21.0,0,274,0
1,14,25.0,23.0,24.0,0,257,0
1,15,25.0,23.0,25.0,0,238,0
1,16,25.0,18.5,25.0,0,219,0
1,17,25.0,14.5,30.5,5.5,202,0
1,18,25.0,16.0,40.0,15.0,190,0
1,19,25.0,22.0,48.0,23.0,178,0
1,20,25.0,22.0,50.0,25.0,160,0
1,21,25.0,20.5,51.0,26.0,141,0
1,22,25.0,21.0,54.5,29.5,123,0
1,23,25.0,21.5,57.5,32.5,105,0
1,24,25.0,22.0,60.0,35.0,87,0
