scenario,component,blocked_order_weeks,stockout_weeks,average_coverage,risk_rank
-1,AIRFRAME,0,0,0.4166625074,1
-1,AVIONICS,0,0,0.4166625074,1
-1,ENGINE,0,0,0.4166625074,1
0,AIRFRAME,393,13,0.1508802872,1
0,AVIONICS,1,1,0.6368312485,2
0,ENGINE,1,1,0.6368312485,2
1,AIRFRAME,263,11,0.185310667,1
1,AVIONICS,3,2,0.3788497238,2
1,ENGINE,3,2,0.3788497238,2
2,AIRFRAME,118,10,0.163403904,1
2,AVIONICS,69,5,0.2357157303,2
2,ENGINE,69,5,0.2357157303,2
3,AIRFRAME,393,14,0.1446163743,1
3,AVIONICS,1,2,0.6305673355,2
3,ENGINE,1,2,0.6305673355,2
4,AVIONICS,129,14,0.1446163743,1
4,ENGINE,129,14,0.1446163743,1
4,AIRFRAME,0,1,0.4254730889,2
