scenario,week,exception_type,resource,magnitude,unit
0,16,FAL demand overload,FAL,11.0,hours
0,17,FAL demand overload,FAL,19.0,hours
0,18,FAL demand overload,FAL,29.5,hours
0,19,FAL demand overload,FAL,39.0,hours
0,20,FAL demand overload,FAL,41.0,hours
0,21,FAL demand overload,FAL,41.0,hours
0,22,FAL demand overload,FAL,43.0,hours
0,23,FAL demand overload,FAL,45.0,hours
0,24,FAL demand overload,FAL,47.0,hours
0,25,FAL demand overload,FAL,49.0,hours
0,26,FAL demand overload,FAL,50.0,hours
1,17,FAL demand overload,FAL,5.5,hours
1,18,FAL demand overload,FAL,15.0,hours
1,19,FAL demand overload,FAL,23.0,hours
1,20,FAL demand overload,FAL,25.0,hours
1,21,FAL demand overload,FAL,26.0,hours
1,22,FAL demand overload,FAL,29.5,hours
1,23,FAL demand overload,FAL,32.5,hours
1,24,FAL demand overload,FAL,35.0,hours
1,25,FAL demand overload,FAL,37.0,hours
1,26,FAL demand overload,FAL,37.0,hours
2,16,FAL demand overload,FAL,5.5,hours
2,17,FAL demand overload,FAL,11.0,hours
2,18,FAL demand overload,FAL,15.0,hours
2,19,FAL demand overload,FAL,19.0,hours
2,20,FAL demand overload,FAL,19.0,hours
2,21,FAL demand overload,FAL,17.0,hours
2,22,FAL demand overload,FAL,18.0,hours
2,23,FAL demand overload,FAL,18.0,hours
2,24,FAL demand overload,FAL,18.0,hours
2,25,FAL demand overload,FAL,20.0,hours
2,26,FAL demand overload,FAL,20.0,hours
3,15,FAL demand overload,FAL,0.5,hours
3,16,FAL demand overload,FAL,11.5,hours
3,17,FAL demand overload,FAL,20.0,hours
3,18,FAL demand overload,FAL,29.0,hours
3,19,FAL demand overload,FAL,38.5,hours
3,20,FAL demand overload,FAL,39.5,hours
3,21,FAL demand overload,FAL,40.0,hours
3,22,FAL demand overload,FAL,41.0,hours
3,23,FAL demand overload,FAL,43.0,hours
3,24,FAL demand overload,FAL,47.5,hours
3,25,FAL demand overload,FAL,51.0,hours
3,26,FAL demand overload,FAL,51.5,hours
4,15,FAL demand overload,FAL,0.5,hours
4,16,FAL demand overload,FAL,1.5,hours
4,17,FAL demand overload,FAL,2.0,hours
4,18,FAL demand overload,FAL,4.5,hours
4,19,FAL demand overload,FAL,7.5,hours
4,20,FAL demand overload,FAL,10.5,hours
4,21,FAL demand overload,FAL,10.0,hours
4,22,FAL demand overload,FAL,12.5,hours
4,23,FAL demand overload,FAL,15.0,hours
4,24,FAL demand overload,FAL,19.0,hours
4,25,FAL demand overload,FAL,22.5,hours
4,26,FAL demand overload,FAL,22.5,hours
0,14,Material blocking,AIRFRAME,1,order-week events
0,14,Material blocking,ENGINE,1,order-week events
0,14,Material blocking,AVIONICS,1,order-week events
0,15,Material blocking,AIRFRAME,9,order-week events
0,16,Material blocking,AIRFRAME,16,order-week events
0,17,Material blocking,AIRFRAME,24,order-week events
0,18,Material blocking,AIRFRAME,32,order-week events
0,19,Material blocking,AIRFRAME,34,order-week events
0,20,Material blocking,AIRFRAME,35,order-week events
0,21,Material blocking,AIRFRAME,36,order-week events
0,22,Material blocking,AIRFRAME,38,order-week events
0,23,Material blocking,AIRFRAME,40,order-week events
0,24,Material blocking,AIRFRAME,42,order-week events
0,25,Material blocking,AIRFRAME,43,order-week events
0,26,Material blocking,AIRFRAME,43,order-week events
1,14,Material blocking,ENGINE,1,order-week events
1,14,Material blocking,AVIONICS,1,order-week events
1,15,Material blocking,ENGINE,2,order-week events
1,15,Material blocking,AVIONICS,2,order-week events
1,16,Material blocking,AIRFRAME,4,order-week events
1,17,Material blocking,AIRFRAME,12,order-week events
1,18,Material blocking,AIRFRAME,20,order-week events
1,19,Material blocking,AIRFRAME,22,order-week events
1,20,Material blocking,AIRFRAME,23,order-week events
1,21,Material blocking,AIRFRAME,24,order-week events
1,22,Material blocking,AIRFRAME,26,order-week events
1,23,Material blocking,AIRFRAME,28,order-week events
1,24,Material blocking,AIRFRAME,30,order-week events
1,25,Material blocking,AIRFRAME,31,order-week events
1,26,Material blocking,AIRFRAME,43,order-week events
2,14,Material blocking,AIRFRAME,1,order-week events
2,14,Material blocking,ENGINE,1,order-week events
2,14,Material blocking,AVIONICS,1,order-week events
2,15,Material blocking,AIRFRAME,5,order-week events
2,16,Material blocking,AIRFRAME,8,order-week events
2,17,Material blocking,AIRFRAME,12,order-week events
2,18,Material blocking,AIRFRAME,16,order-week events
2,19,Material blocking,AIRFRAME,16,order-week events
2,20,Material blocking,AIRFRAME,15,order-week events
2,21,Material blocking,AIRFRAME,15,order-week events
2,22,Material blocking,AIRFRAME,15,order-week events
2,23,Material blocking,AIRFRAME,15,order-week events
2,23,Material blocking,ENGINE,15,order-week events
2,23,Material blocking,AVIONICS,15,order-week events
2,24,Material blocking,ENGINE,17,order-week events
2,24,Material blocking,AVIONICS,17,order-week events
2,25,Material blocking,ENGINE,18,order-week events
2,25,Material blocking,AVIONICS,18,order-week events
2,26,Material blocking,ENGINE,18,order-week events
2,26,Material blocking,AVIONICS,18,order-week events
3,14,Material blocking,AIRFRAME,1,order-week events
3,14,Material blocking,ENGINE,1,order-week events
3,14,Material blocking,AVIONICS,1,order-week events
3,15,Material blocking,AIRFRAME,9,order-week events
3,16,Material blocking,AIRFRAME,16,order-week events
3,17,Material blocking,AIRFRAME,24,order-week events
3,18,Material blocking,AIRFRAME,32,order-week events
3,19,Material blocking,AIRFRAME,34,order-week events
3,20,Material blocking,AIRFRAME,35,order-week events
3,21,Material blocking,AIRFRAME,36,order-week events
3,22,Material blocking,AIRFRAME,38,order-week events
3,23,Material blocking,AIRFRAME,40,order-week events
3,24,Material blocking,AIRFRAME,42,order-week events
3,25,Material blocking,AIRFRAME,43,order-week events
3,26,Material blocking,AIRFRAME,43,order-week events
4,14,Material blocking,ENGINE,1,order-week events
4,14,Material blocking,AVIONICS,1,order-week events
4,15,Material blocking,ENGINE,2,order-week events
4,15,Material blocking,AVIONICS,2,order-week events
4,16,Material blocking,ENGINE,3,order-week events
4,16,Material blocking,AVIONICS,3,order-week events
4,17,Material blocking,ENGINE,5,order-week events
4,17,Material blocking,AVIONICS,5,order-week events
4,18,Material blocking,ENGINE,7,order-week events
4,18,Material blocking,AVIONICS,7,order-week events
4,19,Material blocking,ENGINE,9,order-week events
4,19,Material blocking,AVIONICS,9,order-week events
4,20,Material blocking,ENGINE,10,order-week events
4,20,Material blocking,AVIONICS,10,order-week events
4,21,Material blocking,ENGINE,11,order-week events
4,21,Material blocking,AVIONICS,11,order-week events
4,22,Material blocking,ENGINE,13,order-week events
4,22,Material blocking,AVIONICS,13,order-week events
4,23,Material blocking,ENGINE,15,order-week events
4,23,Material blocking,AVIONICS,15,order-week events
4,24,Material blocking,ENGINE,17,order-week events
4,24,Material blocking,AVIONICS,17,order-week events
4,25,Material blocking,ENGINE,18,order-week events
4,25,Material blocking,AVIONICS,18,order-week events
4,26,Material blocking,ENGINE,18,order-week events
4,26,Material blocking,AVIONICS,18,order-week events
