order_id,product,due_week,quantity,priority,known_week,incremental
O00001,AP-100,1,1,1,1,0
O00002,AP-100,1,1,1,1,0
O00003,AP-100,1,1,2,1,0
O00004,AP-100,1,1,2,1,0
O00005,AP-100,1,1,2,1,0
O00006,AP-100,1,1,2,1,0
O00007,AP-100,1,1,1,1,0
O00008,AP-100,1,1,1,1,0
O00009,AP-100,1,1,3,1,0
O00010,AP-100,1,1,1,1,0
O00011,AP-200,1,1,2,1,0
O00012,AP-200,1,1,2,1,0
O00013,AP-200,1,1,1,1,0
O00014,AP-200,1,1,2,1,0
O00015,AP-300,1,1,3,1,0
O00016,AP-300,1,1,2,1,0
O00017,AP-100,2,1,2,1,0
O00018,AP-100,2,1,1,1,0
O00019,AP-100,2,1,2,1,0
O00020,AP-100,2,1,3,1,0
O00021,AP-100,2,1,2,1,0
O00022,AP-100,2,1,2,1,0
O00023,AP-100,2,1,2,1,0
O00024,AP-100,2,1,2,1,0
O00025,AP-100,2,1,2,1,0
O00026,AP-100,2,1,1,1,0
O00027,AP-200,2,1,2,1,0
O00028,AP-200,2,1,2,1,0
O00029,AP-200,2,1,1,1,0
O00030,AP-200,2,1,3,1,0
O00031,AP-300,2,1,3,1,0
O00032,AP-300,2,1,1,1,0
O00033,AP-100,3,1,2,1,0
O00034,AP-100,3,1,2,1,0
O00035,AP-100,3,1,1,1,0
O00036,AP-100,3,1,1,1,0
O00037,AP-100,3,1,2,1,0
O00038,AP-100,3,1,2,1,0
O00039,AP-100,3,1,1,1,0
O00040,AP-100,3,1,2,1,0
O00041,AP-100,3,1,1,1,0
O00042,AP-100,3,1,3,1,0
O00043,AP-200,3,1,2,1,0
O00044,AP-200,3,1,2,1,0
O00045,AP-200,3,1,2,1,0
O00046,AP-200,3,1,2,1,0
O00047,AP-300,3,1,2,1,0
O00048,AP-300,3,1,2,1,0
O00049,AP-100,4,1,2,1,0
O00050,AP-100,4,1,2,1,0
O00051,AP-100,4,1,1,1,0
O00052,AP-100,4,1,2,1,0
O00053,AP-100,4,1,1,1,0
O00054,AP-100,4,1,2,1,0
O00055,AP-100,4,1,3,1,0
O00056,AP-100,4,1,2,1,0
O00057,AP-100,4,1,1,1,0
O00058,AP-100,4,1,2,1,0
O00059,AP-200,4,1,3,1,0
O00060,AP-200,4,1,3,1,0
O00061,AP-200,4,1,3,1,0
O00062,AP-200,4,1,2,1,0
O00063,AP-300,4,1,3,1,0
O00064,AP-300,4,1,3,1,0
O00065,AP-100,5,1,1,1,0
O00066,AP-100,5,1,1,1,0
O00067,AP-100,5,1,2,1,0
O00068,AP-100,5,1,2,1,0
O00069,AP-100,5,1,3,1,0
O00070,AP-100,5,1,1,1,0
O00071,AP-100,5,1,3,1,0
O00072,AP-100,5,1,3,1,0
O00073,AP-100,5,1,3,1,0
O00074,AP-100,5,1,2,1,0
O00075,AP-200,5,1,2,1,0
O00076,AP-200,5,1,2,1,0
O00077,AP-200,5,1,1,1,0
O00078,AP-200,5,1,2,1,0
O00079,AP-300,5,1,2,1,0
O00080,AP-300,5,1,1,1,0
O00081,AP-100,6,1,2,1,0
O00082,AP-100,6,1,1,1,0
O00083,AP-100,6,1,2,1,0
O00084,AP-100,6,1,3,1,0
O00085,AP-100,6,1,1,1,0
O00086,AP-100,6,1,1,1,0
O00087,AP-100,6,1,2,1,0
O00088,AP-100,6,1,2,1,0
O00089,AP-100,6,1,2,1,0
O00090,AP-100,6,1,1,1,0
O00091,AP-200,6,1,2,1,0
O00092,AP-200,6,1,2,1,0
O00093,AP-200,6,1,3,1,0
O00094,AP-200,6,1,2,1,0
O00095,AP-300,6,1,2,1,0
O00096,AP-300,6,1,2,1,0
O00097,AP-100,7,1,1,1,0
O00098,AP-100,7,1,2,1,0
O00099,AP-100,7,1,1,1,0
O00100,AP-100,7,1,2,1,0
O00101,AP-100,7,1,2,1,0
O00102,AP-100,7,1,1,1,0
O00103,AP-100,7,1,1,1,0
O00104,AP-100,7,1,1,1,0
O00105,AP-100,7,1,2,1,0
O00106,AP-100,7,1,1,1,0
O00107,AP-200,7,1,3,1,0
O00108,AP-200,7,1,2,1,0
O00109,AP-200,7,1,3,1,0
O00110,AP-200,7,1,3,1,0
O00111,AP-300,7,1,1,1,0
O00112,AP-300,7,1,1,1,0
O00113,AP-100,8,1,2,1,0
O00114,AP-100,8,1,3,1,0
O00115,AP-100,8,1,2,1,0
O00116,AP-100,8,1,1,1,0
O00117,AP-100,8,1,3,1,0
O00118,AP-100,8,1,1,1,0
O00119,AP-100,8,1,1,1,0
O00120,AP-100,8,1,1,1,0
O00121,AP-100,8,1,1,1,0
O00122,AP-100,8,1,2,1,0
O00123,AP-200,8,1,3,1,0
O00124,AP-200,8,1,2,1,0
O00125,AP-200,8,1,3,1,0
O00126,AP-200,8,1,3,1,0
O00127,AP-300,8,1,2,1,0
O00128,AP-300,8,1,1,1,0
O00129,AP-100,9,1,2,1,0
O00130,AP-100,9,1,1,1,0
O00131,AP-100,9,1,1,1,0
O00132,AP-100,9,1,3,1,0
O00133,AP-100,9,1,2,1,0
O00134,AP-100,9,1,2,1,0
O00135,AP-100,9,1,2,1,0
O00136,AP-100,9,1,2,1,0
O00137,AP-100,9,1,2,1,0
O00138,AP-100,9,1,2,1,0
O00139,AP-200,9,1,1,1,0
O00140,AP-200,9,1,2,1,0
O00141,AP-200,9,1,2,1,0
O00142,AP-200,9,1,2,1,0
O00143,AP-300,9,1,1,1,0
O00144,AP-300,9,1,2,1,0
O00145,AP-100,10,1,2,1,0
O00146,AP-100,10,1,2,1,0
O00147,AP-100,10,1,2,1,0
O00148,AP-100,10,1,3,1,0
O00149,AP-100,10,1,2,1,0
O00150,AP-100,10,1,1,1,0
O00151,AP-100,10,1,1,1,0
O00152,AP-100,10,1,3,1,0
O00153,AP-100,10,1,2,1,0
O00154,AP-100,10,1,1,1,0
O00155,AP-200,10,1,2,1,0
O00156,AP-200,10,1,1,1,0
O00157,AP-200,10,1,2,1,0
O00158,AP-200,10,1,2,1,0
O00159,AP-300,10,1,3,1,0
O00160,AP-300,10,1,2,1,0
O00161,AP-100,11,1,2,1,0
O00162,AP-100,11,1,2,1,0
O00163,AP-100,11,1,2,1,0
O00164,AP-100,11,1,1,1,0
