vintage_week,week,product,forecast_units
1,1,AP-100,9.248
1,1,AP-200,4.138
1,1,AP-300,1.984
1,2,AP-100,9.348
2,2,AP-100,9.355
1,2,AP-200,4.023
2,2,AP-200,4.303
1,2,AP-300,2.017
2,2,AP-300,2.105
1,3,AP-100,9.645
2,3,AP-100,10.217
3,3,AP-100,9.784
1,3,AP-200,4.129
2,3,AP-200,4.117
3,3,AP-200,3.726
1,3,AP-300,1.892
2,3,AP-300,1.961
3,3,AP-300,2.157
1,4,AP-100,10.661
2,4,AP-100,10.107
3,4,AP-100,10.349
4,4,AP-100,9.54
1,4,AP-200,3.85
2,4,AP-200,3.838
3,4,AP-200,4.039
4,4,AP-200,3.848
1,4,AP-300,1.956
2,4,AP-300,2.159
3,4,AP-300,1.884
4,4,AP-300,1.998
1,5,AP-100,10.754
2,5,AP-100,10.577
3,5,AP-100,9.218
4,5,AP-100,10.353
5,5,AP-100,10.291
1,5,AP-200,3.958
2,5,AP-200,3.97
3,5,AP-200,4.29
4,5,AP-200,4.241
5,5,AP-200,3.849
1,5,AP-300,2.119
2,5,AP-300,1.936
3,5,AP-300,2.044
4,5,AP-300,2.035
5,5,AP-300,1.889
1,6,AP-100,9.585
2,6,AP-100,10.108
3,6,AP-100,9.326
4,6,AP-100,10.371
5,6,AP-100,10.506
6,6,AP-100,10.765
1,6,AP-200,3.85
2,6,AP-200,4.238
3,6,AP-200,3.951
4,6,AP-200,3.816
5,6,AP-200,4.025
6,6,AP-200,4.147
1,6,AP-300,1.968
2,6,AP-300,2.055
3,6,AP-300,1.959
4,6,AP-300,2.128
5,6,AP-300,1.984
6,6,AP-300,1.919
1,7,AP-100,10.649
2,7,AP-100,10.575
3,7,AP-100,9.313
4,7,AP-100,9.581
5,7,AP-100,10.27
6,7,AP-100,9.543
7,7,AP-100,9.412
1,7,AP-200,3.802
2,7,AP-200,3.742
3,7,AP-200,3.956
4,7,AP-200,3.951
5,7,AP-200,3.979
6,7,AP-200,4.147
7,7,AP-200,4.111
1,7,AP-300,1.969
2,7,AP-300,1.949
3,7,AP-300,2.116
4,7,AP-300,1.92
5,7,AP-300,1.901
6,7,AP-300,1.984
7,7,AP-300,1.975
1,8,AP-100,9.466
2,8,AP-100,9.977
3,8,AP-100,9.542
4,8,AP-100,9.842
5,8,AP-100,9.294
6,8,AP-100,9.806
7,8,AP-100,10.776
8,8,AP-100,9.624
1,8,AP-200,3.779
2,8,AP-200,3.87
3,8,AP-200,4.3
4,8,AP-200,4.051
5,8,AP-200,4.027
6,8,AP-200,4.159
7,8,AP-200,3.717
8,8,AP-200,4.054
1,8,AP-300,2.147
2,8,AP-300,1.866
3,8,AP-300,1.899
4,8,AP-300,2.03
5,8,AP-300,2.056
6,8,AP-300,1.915
7,8,AP-300,1.878
8,8,AP-300,2.125
1,9,AP-100,9.833
2,9,AP-100,10.275
3,9,AP-100,9.68
4,9,AP-100,9.706
5,9,AP-100,10.403
6,9,AP-100,9.316
7,9,AP-100,9.933
8,9,AP-100,10.798
9,9,AP-100,10.794
1,9,AP-200,4.277
2,9,AP-200,4.244
3,9,AP-200,4.243
4,9,AP-200,3.916
5,9,AP-200,3.781
6,9,AP-200,4.214
7,9,AP-200,4.13
8,9,AP-200,4.071
9,9,AP-200,4.312
1,9,AP-300,2.138
2,9,AP-300,1.873
3,9,AP-300,2.121
4,9,AP-300,1.925
5,9,AP-300,2.125
6,9,AP-300,2.078
7,9,AP-300,1.89
8,9,AP-300,1.93
9,9,AP-300,1.907
1,10,AP-100,9.206
2,10,AP-100,10.434
3,10,AP-100,10.219
4,10,AP-100,9.619
5,10,AP-100,10.386
6,10,AP-100,10.083
7,10,AP-100,9.884
8,10,AP-100,9.215
9,10,AP-100,9.32
10,10,AP-100,10.613
1,10,AP-200,3.955
2,10,AP-200,3.707
3,10,AP-200,3.913
4,10,AP-200,4.277
5,10,AP-200,4.302
6,10,AP-200,3.706
7,10,AP-200,3.909
8,10,AP-200,4.117
9,10,AP-200,4.107
