scenario,week,product,demand_units,forecast_units,absolute_error,rolling_4w_wape
-1,1,AP-100,10,9.248,0.752,0.0752
-1,2,AP-100,10,9.348,0.652,0.0702
-1,3,AP-100,10,9.645,0.355,0.0586333333
-1,4,AP-100,10,10.661,0.661,0.0605
-1,5,AP-100,10,10.754,0.754,0.06055
-1,6,AP-100,10,9.585,0.415,0.054625
-1,7,AP-100,10,10.649,0.649,0.061975
-1,8,AP-100,10,9.466,0.534,0.0588
-1,9,AP-100,10,9.833,0.167,0.044125
-1,10,AP-100,10,9.206,0.794,0.0536
-1,11,AP-100,10,9.759,0.241,0.0434
-1,12,AP-100,10,9.873,0.127,0.033225
-1,13,AP-100,10,9.413,0.587,0.043725
-1,14,AP-100,12,11.685,0.315,0.0302380952
-1,15,AP-100,12,12.673,0.673,0.0386818182
-1,16,AP-100,12,12.103,0.103,0.0364782609
-1,17,AP-100,12,11.342,0.658,0.0364375
-1,18,AP-100,12,12.312,0.312,0.036375
-1,19,AP-100,12,11.488,0.512,0.0330208333
-1,20,AP-100,12,12.855,0.855,0.0486875
-1,21,AP-100,12,12.26,0.26,0.0403958333
-1,22,AP-100,12,11.919,0.081,0.0355833333
-1,23,AP-100,12,11.216,0.784,0.04125
-1,24,AP-100,12,12.489,0.489,0.033625
-1,25,AP-100,12,12.96,0.96,0.0482083333
-1,26,AP-100,12,12.646,0.646,0.0599791667
-1,1,AP-200,4,4.138,0.138,0.0345
-1,2,AP-200,4,4.023,0.023,0.020125
-1,3,AP-200,4,4.129,0.129,0.0241666667
-1,4,AP-200,4,3.85,0.15,0.0275
-1,5,AP-200,4,3.958,0.042,0.0215
-1,6,AP-200,4,3.85,0.15,0.0294375
-1,7,AP-200,4,3.802,0.198,0.03375
-1,8,AP-200,4,3.779,0.221,0.0381875
-1,9,AP-200,4,4.277,0.277,0.052875
-1,10,AP-200,4,3.955,0.045,0.0463125
-1,11,AP-200,4,3.794,0.206,0.0468125
-1,12,AP-200,4,4.007,0.007,0.0334375
-1,13,AP-200,4,4.218,0.218,0.02975
-1,14,AP-200,4,3.815,0.185,0.0385
-1,15,AP-200,4,4.15,0.15,0.035
-1,16,AP-200,4,3.826,0.174,0.0454375
-1,17,AP-200,4,4.261,0.261,0.048125
-1,18,AP-200,4,4.274,0.274,0.0536875
-1,19,AP-200,4,3.98,0.02,0.0455625
-1,20,AP-200,4,4.069,0.069,0.039
-1,21,AP-200,4,3.819,0.181,0.034
-1,22,AP-200,4,3.945,0.055,0.0203125
-1,23,AP-200,4,3.933,0.067,0.02325
-1,24,AP-200,4,4.262,0.262,0.0353125
-1,25,AP-200,4,4.259,0.259,0.0401875
-1,26,AP-200,4,3.708,0.292,0.055
-1,1,AP-300,2,1.984,0.016,0.008
-1,2,AP-300,2,2.017,0.017,0.00825
-1,3,AP-300,2,1.892,0.108,0.0235
-1,4,AP-300,2,1.956,0.044,0.023125
-1,5,AP-300,2,2.119,0.119,0.036
-1,6,AP-300,2,1.968,0.032,0.037875
-1,7,AP-300,2,1.969,0.031,0.02825
-1,8,AP-300,2,2.147,0.147,0.041125
-1,9,AP-300,2,2.138,0.138,0.0435
-1,10,AP-300,2,2.136,0.136,0.0565
-1,11,AP-300,2,2.067,0.067,0.061
-1,12,AP-300,2,1.848,0.152,0.061625
-1,13,AP-300,2,1.861,0.139,0.06175
-1,14,AP-300,2,2.144,0.144,0.06275
-1,15,AP-300,2,1.849,0.151,0.07325
-1,16,AP-300,2,2.141,0.141,0.071875
-1,17,AP-300,2,1.848,0.152,0.0735
-1,18,AP-300,2,2.107,0.107,0.068875
-1,19,AP-300,2,2.083,0.083,0.060375
-1,20,AP-300,2,2.106,0.106,0.056
-1,21,AP-300,2,2.106,0.106,0.05025
-1,22,AP-300,2,2.15,0.15,0.055625
-1,23,AP-300,2,1.933,0.067,0.053625
-1,24,AP-300,2,1.946,0.054,0.047125
-1,25,AP-300,2,2.101,0.101,0.0465
-1,26,AP-300,2,1.88,0.12,0.04275
0,1,AP-100,10,9.248,0.752,0.0752
0,2,AP-100,10,9.348,0.652,0.0702
0,3,AP-100,10,9.645,0.355,0.0586333333
0,4,AP-100,10,10.661,0.661,0.0605
0,5,AP-100,10,10.754,0.754,0.06055
0,6,AP-100,10,9.585,0.415,0.054625
0,7,AP-100,10,10.649,0.649,0.061975
0,8,AP-100,10,9.466,0.534,0.0588
0,9,AP-100,10,9.833,0.167,0.044125
0,10,AP-100,12,9.206,2.794,0.0986666667
0,11,AP-100,11,9.759,1.241,0.1101395349
0,12,AP-100,12,9.873,2.127,0.1406444444
0,13,AP-100,11,9.413,1.587,0.1684565217
0,14,AP-100,14,11.685,2.315,0.1514583333
0,15,AP-100,14,12.673,1.327,0.1442352941
