scenario,week,component,opening_units,receipts,consumed,closing_units,coverage_weeks,stockout,blocked_orders
-1,1,AIRFRAME,4,16,16,4,0.25,0,0
-1,1,ENGINE,8,32,32,8,0.25,0,0
-1,1,AVIONICS,4,16,16,4,0.25,0,0
-1,2,AIRFRAME,4,16,16,4,0.25,0,0
-1,2,ENGINE,8,32,32,8,0.25,0,0
-1,2,AVIONICS,4,16,16,4,0.25,0,0
-1,3,AIRFRAME,4,16,16,4,0.25,0,0
-1,3,ENGINE,8,32,32,8,0.25,0,0
-1,3,AVIONICS,4,16,16,4,0.25,0,0
-1,4,AIRFRAME,4,17,16,5,0.3125,0,0
-1,4,ENGINE,8,34,32,10,0.3125,0,0
-1,4,AVIONICS,4,17,16,5,0.3125,0,0
-1,5,AIRFRAME,5,17,16,6,0.375,0,0
-1,5,ENGINE,10,34,32,12,0.375,0,0
-1,5,AVIONICS,5,17,16,6,0.375,0,0
-1,6,AIRFRAME,6,16,16,6,0.375,0,0
-1,6,ENGINE,12,32,32,12,0.375,0,0
-1,6,AVIONICS,6,16,16,6,0.375,0,0
-1,7,AIRFRAME,6,17,16,7,0.4375,0,0
-1,7,ENGINE,12,34,32,14,0.4375,0,0
-1,7,AVIONICS,6,17,16,7,0.4375,0,0
-1,8,AIRFRAME,7,16,16,7,0.4375,0,0
-1,8,ENGINE,14,32,32,14,0.4375,0,0
-1,8,AVIONICS,7,16,16,7,0.4375,0,0
-1,9,AIRFRAME,7,16,16,7,0.4375,0,0
-1,9,ENGINE,14,32,32,14,0.4375,0,0
-1,9,AVIONICS,7,16,16,7,0.4375,0,0
-1,10,AIRFRAME,7,16,16,7,0.4242424242,0,0
-1,10,ENGINE,14,32,32,14,0.4242424242,0,0
-1,10,AVIONICS,7,16,16,7,0.4242424242,0,0
-1,11,AIRFRAME,7,16,16,7,0.4117647059,0,0
-1,11,ENGINE,14,32,32,14,0.4117647059,0,0
-1,11,AVIONICS,7,16,16,7,0.4117647059,0,0
-1,12,AIRFRAME,7,16,16,7,0.4,0,0
-1,12,ENGINE,14,32,32,14,0.4,0,0
-1,12,AVIONICS,7,16,16,7,0.4,0,0
-1,13,AIRFRAME,7,16,16,7,0.3888888889,0,0
-1,13,ENGINE,14,32,32,14,0.3888888889,0,0
-1,13,AVIONICS,7,16,16,7,0.3888888889,0,0
-1,14,AIRFRAME,7,18,18,7,0.3888888889,0,0
-1,14,ENGINE,14,36,36,14,0.3888888889,0,0
-1,14,AVIONICS,7,18,18,7,0.3888888889,0,0
-1,15,AIRFRAME,7,19,18,8,0.4444444444,0,0
-1,15,ENGINE,14,38,36,16,0.4444444444,0,0
-1,15,AVIONICS,7,19,18,8,0.4444444444,0,0
-1,16,AIRFRAME,8,18,18,8,0.4444444444,0,0
-1,16,ENGINE,16,36,36,16,0.4444444444,0,0
-1,16,AVIONICS,8,18,18,8,0.4444444444,0,0
-1,17,AIRFRAME,8,18,18,8,0.4444444444,0,0
-1,17,ENGINE,16,36,36,16,0.4444444444,0,0
-1,17,AVIONICS,8,18,18,8,0.4444444444,0,0
-1,18,AIRFRAME,8,18,18,8,0.4444444444,0,0
-1,18,ENGINE,16,36,36,16,0.4444444444,0,0
-1,18,AVIONICS,8,18,18,8,0.4444444444,0,0
-1,19,AIRFRAME,8,18,18,8,0.4444444444,0,0
-1,19,ENGINE,16,36,36,16,0.4444444444,0,0
-1,19,AVIONICS,8,18,18,8,0.4444444444,0,0
-1,20,AIRFRAME,8,19,18,9,0.5,0,0
-1,20,ENGINE,16,38,36,18,0.5,0,0
-1,20,AVIONICS,8,19,18,9,0.5,0,0
-1,21,AIRFRAME,9,18,18,9,0.5,0,0
-1,21,ENGINE,18,36,36,18,0.5,0,0
-1,21,AVIONICS,9,18,18,9,0.5,0,0
-1,22,AIRFRAME,9,18,18,9,0.5,0,0
-1,22,ENGINE,18,36,36,18,0.5,0,0
-1,22,AVIONICS,9,18,18,9,0.5,0,0
-1,23,AIRFRAME,9,18,18,9,0.5,0,0
-1,23,ENGINE,18,36,36,18,0.5,0,0
-1,23,AVIONICS,9,18,18,9,0.5,0,0
-1,24,AIRFRAME,9,18,18,9,0.5,0,0
-1,24,ENGINE,18,36,36,18,0.5,0,0
-1,24,AVIONICS,9,18,18,9,0.5,0,0
-1,25,AIRFRAME,9,19,18,10,0.5555555556,0,0
-1,25,ENGINE,18,38,36,20,0.5555555556,0,0
-1,25,AVIONICS,9,19,18,10,0.5555555556,0,0
-1,26,AIRFRAME,10,19,18,11,,0,0
-1,26,ENGINE,20,38,36,22,,0,0
-1,26,AVIONICS,10,19,18,11,,0,0
0,1,AIRFRAME,4,16,16,4,0.25,0,0
0,1,ENGINE,8,32,32,8,0.25,0,0
0,1,AVIONICS,4,16,16,4,0.25,0,0
0,2,AIRFRAME,4,16,16,4,0.25,0,0
0,2,ENGINE,8,32,32,8,0.25,0,0
0,2,AVIONICS,4,16,16,4,0.25,0,0
0,3,AIRFRAME,4,16,16,4,0.25,0,0
0,3,ENGINE,8,32,32,8,0.25,0,0
0,3,AVIONICS,4,16,16,4,0.25,0,0
0,4,AIRFRAME,4,17,16,5,0.3125,0,0
0,4,ENGINE,8,34,32,10,0.3125,0,0
0,4,AVIONICS,4,17,16,5,0.3125,0,0
0,5,AIRFRAME,5,17,16,6,0.375,0,0
0,5,ENGINE,10,34,32,12,0.375,0,0
0,5,AVIONICS,5,17,16,6,0.375,0,0
0,6,AIRFRAME,6,16,16,6,0.375,0,0
0,6,ENGINE,12,32,32,12,0.375,0,0
0,6,AVIONICS,6,16,16,6,0.375,0,0
0,7,AIRFRAME,6,17,16,7,0.4375,0,0
0,7,ENGINE,12,34,32,14,0.4375,0,0
0,7,AVIONICS,6,17,16,7,0.4375,0,0
0,8,AIRFRAME,7,16,16,7,0.4375,0,0
0,8,ENGINE,14,32,32,14,0.4375,0,0
0,8,AVIONICS,7,16,16,7,0.4375,0,0
0,9,AIRFRAME,7,16,16,7,0.4375,0,0
0,9,ENGINE,14,32,32,14,0.4375,0,0
0,9,AVIONICS,7,16,16,7,0.4375,0,0
0,10,AIRFRAME,7,16,18,5,0.2777777778,0,0
0,10,ENGINE,14,32,36,10,0.2777777778,0,0
0,10,AVIONICS,7,16,18,5,0.2777777778,0,0
