order_id,product,due_week,quantity,priority,known_week,incremental,scenario,delivery_week,on_time,late_or_open,delay_weeks
O00001,AP-100,1,1,1,1,0,-1,1,1,0,0
O00002,AP-100,1,1,1,1,0,-1,1,1,0,0
O00003,AP-100,1,1,2,1,0,-1,1,1,0,0
O00004,AP-100,1,1,2,1,0,-1,1,1,0,0
O00005,AP-100,1,1,2,1,0,-1,1,1,0,0
O00006,AP-100,1,1,2,1,0,-1,1,1,0,0
O00007,AP-100,1,1,1,1,0,-1,1,1,0,0
O00008,AP-100,1,1,1,1,0,-1,1,1,0,0
O00009,AP-100,1,1,3,1,0,-1,1,1,0,0
O00010,AP-100,1,1,1,1,0,-1,1,1,0,0
O00011,AP-200,1,1,2,1,0,-1,1,1,0,0
O00012,AP-200,1,1,2,1,0,-1,1,1,0,0
O00013,AP-200,1,1,1,1,0,-1,1,1,0,0
O00014,AP-200,1,1,2,1,0,-1,1,1,0,0
O00015,AP-300,1,1,3,1,0,-1,1,1,0,0
O00016,AP-300,1,1,2,1,0,-1,1,1,0,0
O00017,AP-100,2,1,2,1,0,-1,2,1,0,0
O00018,AP-100,2,1,1,1,0,-1,2,1,0,0
O00019,AP-100,2,1,2,1,0,-1,2,1,0,0
O00020,AP-100,2,1,3,1,0,-1,2,1,0,0
O00021,AP-100,2,1,2,1,0,-1,2,1,0,0
O00022,AP-100,2,1,2,1,0,-1,2,1,0,0
O00023,AP-100,2,1,2,1,0,-1,2,1,0,0
O00024,AP-100,2,1,2,1,0,-1,2,1,0,0
O00025,AP-100,2,1,2,1,0,-1,2,1,0,0
O00026,AP-100,2,1,1,1,0,-1,2,1,0,0
O00027,AP-200,2,1,2,1,0,-1,2,1,0,0
O00028,AP-200,2,1,2,1,0,-1,2,1,0,0
O00029,AP-200,2,1,1,1,0,-1,2,1,0,0
O00030,AP-200,2,1,3,1,0,-1,2,1,0,0
O00031,AP-300,2,1,3,1,0,-1,2,1,0,0
O00032,AP-300,2,1,1,1,0,-1,2,1,0,0
O00033,AP-100,3,1,2,1,0,-1,3,1,0,0
O00034,AP-100,3,1,2,1,0,-1,3,1,0,0
O00035,AP-100,3,1,1,1,0,-1,3,1,0,0
O00036,AP-100,3,1,1,1,0,-1,3,1,0,0
O00037,AP-100,3,1,2,1,0,-1,3,1,0,0
O00038,AP-100,3,1,2,1,0,-1,3,1,0,0
O00039,AP-100,3,1,1,1,0,-1,3,1,0,0
O00040,AP-100,3,1,2,1,0,-1,3,1,0,0
O00041,AP-100,3,1,1,1,0,-1,3,1,0,0
O00042,AP-100,3,1,3,1,0,-1,3,1,0,0
O00043,AP-200,3,1,2,1,0,-1,3,1,0,0
O00044,AP-200,3,1,2,1,0,-1,3,1,0,0
O00045,AP-200,3,1,2,1,0,-1,3,1,0,0
O00046,AP-200,3,1,2,1,0,-1,3,1,0,0
O00047,AP-300,3,1,2,1,0,-1,3,1,0,0
O00048,AP-300,3,1,2,1,0,-1,3,1,0,0
O00049,AP-100,4,1,2,1,0,-1,4,1,0,0
O00050,AP-100,4,1,2,1,0,-1,4,1,0,0
O00051,AP-100,4,1,1,1,0,-1,4,1,0,0
O00052,AP-100,4,1,2,1,0,-1,4,1,0,0
O00053,AP-100,4,1,1,1,0,-1,4,1,0,0
