scenario,order_id,product,due_week,delivery_week,priority,delay_weeks,status,review_sequence
0,O00406,AP-300,24,,1,2,Open at horizon,1
0,X24-01,AP-100,24,,1,2,Open at horizon,2
0,X24-02,AP-100,24,,1,2,Open at horizon,3
0,O00407,AP-100,25,,1,1,Open at horizon,4
0,O00410,AP-100,25,,1,1,Open at horizon,5
0,O00423,AP-300,25,,1,1,Open at horizon,6
0,X25-01,AP-100,25,,1,1,Open at horizon,7
0,X25-02,AP-100,25,,1,1,Open at horizon,8
0,O00426,AP-100,26,,1,0,Open at horizon,9
0,O00430,AP-100,26,,1,0,Open at horizon,10
0,O00431,AP-100,26,,1,0,Open at horizon,11
0,O00435,AP-100,26,,1,0,Open at horizon,12
0,O00436,AP-100,26,,1,0,Open at horizon,13
0,O00438,AP-200,26,,1,0,Open at horizon,14
0,X26-01,AP-100,26,,1,0,Open at horizon,15
0,O00405,AP-300,24,,2,2,Open at horizon,16
0,O00409,AP-100,25,,2,1,Open at horizon,17
0,O00411,AP-100,25,,2,1,Open at horizon,18
0,O00412,AP-100,25,,2,1,Open at horizon,19
0,O00413,AP-100,25,,2,1,Open at horizon,20
0,O00414,AP-100,25,,2,1,Open at horizon,21
0,O00415,AP-100,25,,2,1,Open at horizon,22
0,O00417,AP-100,25,,2,1,Open at horizon,23
0,O00418,AP-100,25,,2,1,Open at horizon,24
0,O00419,AP-200,25,,2,1,Open at horizon,25
0,O00420,AP-200,25,,2,1,Open at horizon,26
0,O00421,AP-200,25,,2,1,Open at horizon,27
0,O00424,AP-300,25,,2,1,Open at horizon,28
0,O00427,AP-100,26,,2,0,Open at horizon,29
0,O00428,AP-100,26,,2,0,Open at horizon,30
0,O00429,AP-100,26,,2,0,Open at horizon,31
0,O00432,AP-100,26,,2,0,Open at horizon,32
0,O00437,AP-200,26,,2,0,Open at horizon,33
0,O00439,AP-200,26,,2,0,Open at horizon,34
0,O00440,AP-200,26,,2,0,Open at horizon,35
0,O00441,AP-300,26,,2,0,Open at horizon,36
0,O00442,AP-300,26,,2,0,Open at horizon,37
0,O00408,AP-100,25,,3,1,Open at horizon,38
0,O00416,AP-100,25,,3,1,Open at horizon,39
0,O00422,AP-200,25,,3,1,Open at horizon,40
0,O00425,AP-100,26,,3,0,Open at horizon,41
0,O00433,AP-100,26,,3,0,Open at horizon,42
0,O00434,AP-100,26,,3,0,Open at horizon,43
0,X14-02,AP-100,14,15,1,1,Delivered late,44
0,X15-01,AP-100,15,16,1,1,Delivered late,45
0,X15-02,AP-100,15,16,1,1,Delivered late,46
0,O00248,AP-100,16,17,1,1,Delivered late,47
0,O00249,AP-100,16,17,1,1,Delivered late,48
0,O00258,AP-200,16,17,1,1,Delivered late,49
0,O00261,AP-300,16,18,1,2,Delivered late,50
0,X16-01,AP-100,16,18,1,2,Delivered late,51
0,O00269,AP-100,17,18,1,1,Delivered late,52
0,O00270,AP-100,17,18,1,1,Delivered late,53
0,O00274,AP-100,17,19,1,2,Delivered late,54
0,O00276,AP-200,17,19,1,2,Delivered late,55
