scenario,week,order_id,product,constraint_type,resource
0,14,X14-02,AP-100,material,AIRFRAME
0,14,X14-02,AP-100,material,ENGINE
0,14,X14-02,AP-100,material,AVIONICS
0,15,O00238,AP-100,material,AIRFRAME
0,15,O00239,AP-200,material,AIRFRAME
0,15,O00240,AP-200,material,AIRFRAME
0,15,O00241,AP-200,material,AIRFRAME
0,15,O00242,AP-200,material,AIRFRAME
0,15,O00243,AP-300,material,AIRFRAME
0,15,O00244,AP-300,material,AIRFRAME
0,15,X15-01,AP-100,material,AIRFRAME
0,15,X15-02,AP-100,material,AIRFRAME
0,16,O00248,AP-100,material,AIRFRAME
0,16,O00249,AP-100,material,AIRFRAME
0,16,O00250,AP-100,material,AIRFRAME
0,16,O00251,AP-100,material,AIRFRAME
0,16,O00252,AP-100,material,AIRFRAME
0,16,O00253,AP-100,material,AIRFRAME
0,16,O00254,AP-100,material,AIRFRAME
0,16,O00255,AP-100,material,AIRFRAME
0,16,O00256,AP-100,material,AIRFRAME
0,16,O00257,AP-200,material,AIRFRAME
0,16,O00258,AP-200,material,AIRFRAME
0,16,O00259,AP-200,material,AIRFRAME
0,16,O00260,AP-200,material,AIRFRAME
0,16,O00261,AP-300,material,AIRFRAME
0,16,O00262,AP-300,material,AIRFRAME
0,16,X16-01,AP-100,material,AIRFRAME
0,17,O00260,AP-200,material,AIRFRAME
0,17,O00261,AP-300,material,AIRFRAME
0,17,O00262,AP-300,material,AIRFRAME
0,17,X16-01,AP-100,material,AIRFRAME
0,17,O00263,AP-100,material,AIRFRAME
0,17,O00264,AP-100,material,AIRFRAME
0,17,O00265,AP-100,material,AIRFRAME
0,17,O00266,AP-100,material,AIRFRAME
0,17,O00267,AP-100,material,AIRFRAME
0,17,O00268,AP-100,material,AIRFRAME
0,17,O00269,AP-100,material,AIRFRAME
0,17,O00270,AP-100,material,AIRFRAME
0,17,O00271,AP-100,material,AIRFRAME
0,17,O00272,AP-100,material,AIRFRAME
0,17,O00273,AP-100,material,AIRFRAME
0,17,O00274,AP-100,material,AIRFRAME
0,17,O00275,AP-200,material,AIRFRAME
0,17,O00276,AP-200,material,AIRFRAME
0,17,O00277,AP-200,material,AIRFRAME
0,17,O00278,AP-200,material,AIRFRAME
0,17,O00279,AP-300,material,AIRFRAME
0,17,O00280,AP-300,material,AIRFRAME
0,17,X17-01,AP-100,material,AIRFRAME
0,17,X17-02,AP-100,material,AIRFRAME
0,18,O00271,AP-100,material,AIRFRAME
0,18,O00272,AP-100,material,AIRFRAME
0,18,O00273,AP-100,material,AIRFRAME
0,18,O00274,AP-100,material,AIRFRAME
0,18,O00275,AP-200,material,AIRFRAME
0,18,O00276,AP-200,material,AIRFRAME
0,18,O00277,AP-200,material,AIRFRAME
0,18,O00278,AP-200,material,AIRFRAME
0,18,O00279,AP-300,material,AIRFRAME
0,18,O00280,AP-300,material,AIRFRAME
0,18,X17-01,AP-100,material,AIRFRAME
0,18,X17-02,AP-100,material,AIRFRAME
0,18,O00281,AP-100,material,AIRFRAME
0,18,O00282,AP-100,material,AIRFRAME
0,18,O00283,AP-100,material,AIRFRAME
0,18,O00284,AP-100,material,AIRFRAME
0,18,O00285,AP-100,material,AIRFRAME
0,18,O00286,AP-100,material,AIRFRAME
0,18,O00287,AP-100,material,AIRFRAME
0,18,O00288,AP-100,material,AIRFRAME
0,18,O00289,AP-100,material,AIRFRAME
0,18,O00290,AP-100,material,AIRFRAME
0,18,O00291,AP-100,material,AIRFRAME
0,18,O00292,AP-100,material,AIRFRAME
0,18,O00293,AP-200,material,AIRFRAME
0,18,O00294,AP-200,material,AIRFRAME
0,18,O00295,AP-200,material,AIRFRAME
0,18,O00296,AP-200,material,AIRFRAME
0,18,O00297,AP-300,material,AIRFRAME
0,18,O00298,AP-300,material,AIRFRAME
0,18,X18-01,AP-100,material,AIRFRAME
0,18,X18-02,AP-100,material,AIRFRAME
0,19,O00287,AP-100,material,AIRFRAME
0,19,O00288,AP-100,material,AIRFRAME
0,19,O00289,AP-100,material,AIRFRAME
