scenario,week,product,demand_units,produced,baseline_plan,absolute_deviation,backlog,on_time_due,used_hours
-1,1,AP-100,10,10,10,0,0,10,10.0
-1,1,AP-200,4,4,4,0,0,4,6.0
-1,1,AP-300,2,2,2,0,0,2,4.0
-1,2,AP-100,10,10,10,0,0,10,10.0
-1,2,AP-200,4,4,4,0,0,4,6.0
-1,2,AP-300,2,2,2,0,0,2,4.0
-1,3,AP-100,10,10,10,0,0,10,10.0
-1,3,AP-200,4,4,4,0,0,4,6.0
-1,3,AP-300,2,2,2,0,0,2,4.0
-1,4,AP-100,10,10,10,0,0,10,10.0
-1,4,AP-200,4,4,4,0,0,4,6.0
-1,4,AP-300,2,2,2,0,0,2,4.0
-1,5,AP-100,10,10,10,0,0,10,10.0
-1,5,AP-200,4,4,4,0,0,4,6.0
-1,5,AP-300,2,2,2,0,0,2,4.0
-1,6,AP-100,10,10,10,0,0,10,10.0
-1,6,AP-200,4,4,4,0,0,4,6.0
-1,6,AP-300,2,2,2,0,0,2,4.0
-1,7,AP-100,10,10,10,0,0,10,10.0
-1,7,AP-200,4,4,4,0,0,4,6.0
-1,7,AP-300,2,2,2,0,0,2,4.0
-1,8,AP-100,10,10,10,0,0,10,10.0
-1,8,AP-200,4,4,4,0,0,4,6.0
-1,8,AP-300,2,2,2,0,0,2,4.0
-1,9,AP-100,10,10,10,0,0,10,10.0
-1,9,AP-200,4,4,4,0,0,4,6.0
-1,9,AP-300,2,2,2,0,0,2,4.0
-1,10,AP-100,10,10,10,0,0,10,10.0
-1,10,AP-200,4,4,4,0,0,4,6.0
-1,10,AP-300,2,2,2,0,0,2,4.0
-1,11,AP-100,10,10,10,0,0,10,10.0
-1,11,AP-200,4,4,4,0,0,4,6.0
-1,11,AP-300,2,2,2,0,0,2,4.0
-1,12,AP-100,10,10,10,0,0,10,10.0
-1,12,AP-200,4,4,4,0,0,4,6.0
-1,12,AP-300,2,2,2,0,0,2,4.0
-1,13,AP-100,10,10,10,0,0,10,10.0
-1,13,AP-200,4,4,4,0,0,4,6.0
-1,13,AP-300,2,2,2,0,0,2,4.0
-1,14,AP-100,12,12,12,0,0,12,12.0
-1,14,AP-200,4,4,4,0,0,4,6.0
-1,14,AP-300,2,2,2,0,0,2,4.0
-1,15,AP-100,12,12,12,0,0,12,12.0
-1,15,AP-200,4,4,4,0,0,4,6.0
