scenario,supplier,component,release_week,allocated_units,available_capacity,master_capacity,release_utilization,incremental_cost
-1,S-A1,AIRFRAME,-4,16,20,20,0.8,0.0
-1,S-A1,AIRFRAME,-3,16,20,20,0.8,0.0
-1,S-A1,AIRFRAME,-2,16,20,20,0.8,0.0
-1,S-A1,AIRFRAME,-1,17,20,20,0.85,0.0
-1,S-A1,AIRFRAME,0,17,20,20,0.85,0.0
-1,S-A1,AIRFRAME,1,16,20,20,0.8,0.0
-1,S-A1,AIRFRAME,2,17,20,20,0.85,0.0
-1,S-A1,AIRFRAME,3,16,20,20,0.8,0.0
-1,S-A1,AIRFRAME,4,16,20,20,0.8,0.0
-1,S-A1,AIRFRAME,5,16,20,20,0.8,0.0
-1,S-A1,AIRFRAME,6,16,20,20,0.8,0.0
-1,S-A1,AIRFRAME,7,16,20,20,0.8,0.0
-1,S-A1,AIRFRAME,8,16,20,20,0.8,0.0
-1,S-A1,AIRFRAME,9,18,20,20,0.9,0.0
-1,S-A1,AIRFRAME,10,19,20,20,0.95,0.0
-1,S-A1,AIRFRAME,11,18,20,20,0.9,0.0
-1,S-A1,AIRFRAME,12,18,20,20,0.9,0.0
-1,S-A1,AIRFRAME,13,18,20,20,0.9,0.0
-1,S-A1,AIRFRAME,14,18,20,20,0.9,0.0
-1,S-A1,AIRFRAME,15,19,20,20,0.95,0.0
-1,S-A1,AIRFRAME,16,18,20,20,0.9,0.0
-1,S-A1,AIRFRAME,17,18,20,20,0.9,0.0
-1,S-A1,AIRFRAME,18,18,20,20,0.9,0.0
-1,S-A1,AIRFRAME,19,18,20,20,0.9,0.0
-1,S-A1,AIRFRAME,20,19,20,20,0.95,0.0
-1,S-A1,AIRFRAME,21,19,20,20,0.95,0.0
-1,S-E1,ENGINE,-4,32,44,44,0.7272727273,0.0
-1,S-E1,ENGINE,-3,32,44,44,0.7272727273,0.0
-1,S-E1,ENGINE,-2,32,44,44,0.7272727273,0.0
-1,S-E1,ENGINE,-1,34,44,44,0.7727272727,0.0
-1,S-E1,ENGINE,0,34,44,44,0.7727272727,0.0
-1,S-E1,ENGINE,1,32,44,44,0.7272727273,0.0
-1,S-E1,ENGINE,2,34,44,44,0.7727272727,0.0
-1,S-E1,ENGINE,3,32,44,44,0.7272727273,0.0
-1,S-E1,ENGINE,4,32,44,44,0.7272727273,0.0
-1,S-E1,ENGINE,5,32,44,44,0.7272727273,0.0
-1,S-E1,ENGINE,6,32,44,44,0.7272727273,0.0
-1,S-E1,ENGINE,7,32,44,44,0.7272727273,0.0
