scenario,supplier,component,release_week,arrival_week,mode,units,master_capacity,available_capacity,planned_primary_units,manufacturing_weeks,transit_weeks,opening_pipeline,incremental_cost
-1,S-A1,AIRFRAME,-4,1,standard,16,20,20,16,3,2,1,0
-1,S-A1,AIRFRAME,-3,2,standard,16,20,20,16,3,2,1,0
-1,S-A1,AIRFRAME,-2,3,standard,16,20,20,16,3,2,1,0
-1,S-A1,AIRFRAME,-1,4,standard,17,20,20,17,3,2,1,0
-1,S-A1,AIRFRAME,0,5,standard,17,20,20,17,3,2,1,0
-1,S-A1,AIRFRAME,1,6,standard,16,20,20,16,3,2,0,0
-1,S-A1,AIRFRAME,2,7,standard,17,20,20,17,3,2,0,0
-1,S-A1,AIRFRAME,3,8,standard,16,20,20,16,3,2,0,0
-1,S-A1,AIRFRAME,4,9,standard,16,20,20,16,3,2,0,0
-1,S-A1,AIRFRAME,5,10,standard,16,20,20,16,3,2,0,0
-1,S-A1,AIRFRAME,6,11,standard,16,20,20,16,3,2,0,0
-1,S-A1,AIRFRAME,7,12,standard,16,20,20,16,3,2,0,0
-1,S-A1,AIRFRAME,8,13,standard,16,20,20,16,3,2,0,0
-1,S-A1,AIRFRAME,9,14,standard,18,20,20,18,3,2,0,0
-1,S-A1,AIRFRAME,10,15,standard,19,20,20,19,3,2,0,0
-1,S-A1,AIRFRAME,11,16,standard,18,20,20,18,3,2,0,0
-1,S-A1,AIRFRAME,12,17,standard,18,20,20,18,3,2,0,0
-1,S-A1,AIRFRAME,13,18,standard,18,20,20,18,3,2,0,0
-1,S-A1,AIRFRAME,14,19,standard,18,20,20,18,3,2,0,0
-1,S-A1,AIRFRAME,15,20,standard,19,20,20,19,3,2,0,0
-1,S-A1,AIRFRAME,16,21,standard,18,20,20,18,3,2,0,0
-1,S-A1,AIRFRAME,17,22,standard,18,20,20,18,3,2,0,0
-1,S-A1,AIRFRAME,18,23,standard,18,20,20,18,3,2,0,0
-1,S-A1,AIRFRAME,19,24,standard,18,20,20,18,3,2,0,0
