scenario,week,demand_units,produced,on_time_due,backlog,baseline_plan,absolute_deviation,rolling_on_time,rolling_demand,previous_backlog,otif,rolling_4w_otif,backlog_change,used_hours,available_hours,overload_hours,capacity_utilization,plan_adherence
-1,1,16,16,16,0,16,0,16,16,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,2,16,16,16,0,16,0,32,32,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,3,16,16,16,0,16,0,48,48,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,4,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,5,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,6,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,7,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,8,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,9,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,10,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,11,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,12,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,13,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
-1,14,18,18,18,0,18,0,66,66,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,15,18,18,18,0,18,0,68,68,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,16,18,18,18,0,18,0,70,70,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,17,18,18,18,0,18,0,72,72,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,18,18,18,18,0,18,0,72,72,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,19,18,18,18,0,18,0,72,72,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,20,18,18,18,0,18,0,72,72,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,21,18,18,18,0,18,0,72,72,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,22,18,18,18,0,18,0,72,72,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,23,18,18,18,0,18,0,72,72,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,24,18,18,18,0,18,0,72,72,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,25,18,18,18,0,18,0,72,72,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
-1,26,18,18,18,0,18,0,72,72,0,1.0,1.0,0,22.0,25.0,0.0,0.88,1.0
0,1,16,16,16,0,16,0,16,16,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
0,2,16,16,16,0,16,0,32,32,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
0,3,16,16,16,0,16,0,48,48,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
0,4,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
0,5,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
0,6,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
0,7,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
0,8,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
0,9,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
0,10,18,18,18,0,16,2,66,66,0,1.0,1.0,0,22.0,22.0,0.0,1.0,0.875
0,11,17,17,17,0,16,1,67,67,0,1.0,1.0,0,21.0,22.0,0.0,0.9545454545,0.9375
0,12,18,18,18,0,16,2,69,69,0,1.0,1.0,0,22.0,22.0,0.0,1.0,0.875
0,13,17,17,17,0,16,1,70,70,0,1.0,1.0,0,21.0,22.0,0.0,0.9545454545,0.9375
0,14,20,19,19,1,18,1,71,72,0,0.95,0.9861111111,1,23.0,25.0,0.0,0.92,0.9444444444
0,15,20,12,11,9,18,6,65,75,1,0.55,0.8666666667,8,12.0,25.0,0.0,0.48,0.6666666667
0,16,19,12,3,16,18,6,50,76,9,0.1578947368,0.6578947368,7,16.0,25.0,11.0,0.64,0.6666666667
0,17,20,12,0,24,18,6,33,79,16,0.0,0.417721519,8,13.5,25.0,19.0,0.54,0.6666666667
0,18,20,12,0,32,18,6,14,79,24,0.0,0.1772151899,8,14.5,25.0,29.5,0.58,0.6666666667
0,19,20,18,0,34,18,0,3,79,32,0.0,0.0379746835,2,22.0,25.0,39.0,0.88,1.0
0,20,20,19,0,35,18,1,0,80,34,0.0,0.0,1,23.0,25.0,41.0,0.92,0.9444444444
0,21,19,18,0,36,18,0,0,79,35,0.0,0.0,1,22.0,25.0,41.0,0.88,1.0
0,22,20,18,0,38,18,0,0,79,36,0.0,0.0,2,22.0,25.0,43.0,0.88,1.0
0,23,20,18,0,40,18,0,0,79,38,0.0,0.0,2,22.0,25.0,45.0,0.88,1.0
0,24,20,18,0,42,18,0,0,79,40,0.0,0.0,2,22.0,25.0,47.0,0.88,1.0
0,25,20,19,0,43,18,3,0,80,42,0.0,0.0,1,22.0,25.0,49.0,0.88,0.8333333333
0,26,19,19,0,43,18,3,0,79,43,0.0,0.0,0,22.0,25.0,50.0,0.88,0.8333333333
1,1,16,16,16,0,16,0,16,16,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
1,2,16,16,16,0,16,0,32,32,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
1,3,16,16,16,0,16,0,48,48,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
1,4,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
1,5,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
1,6,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
1,7,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
1,8,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
1,9,16,16,16,0,16,0,64,64,0,1.0,1.0,0,20.0,22.0,0.0,0.9090909091,1.0
